"There have been %s0 comments%s","Đã có  %s0 bình luận%s"
"There have been %s%s comment(s)%s","Đã có%s%s bình luận%s"
"Posted on %s by %s","Đăng trê %s bởi %s"
"This post was posted in","This post was posted in"
"Recent Posts","Bài viết mới"
"Posted on %s at %s","Đăng trên %s lúc %s"
"Posts by ‘%s‘","Đăng bởi ‘%s‘"
"says","says"
"Post your comment","Đăng bình luận của bạn"
"Response to %s","Response to %s"
"Comments","Bình luận"
"Name","Tên"
"Email","Email"
"Website","Website"
"Comment","Bình luận"
"Home","Trang chủ"

"January","Tháng 1"
"February","Tháng 2"
"March","Tháng 3"
"April","Tháng 4"
"May","Tháng 5"
"June","Tháng 6"
"July","Tháng 7"
"August","Tháng 8"
"September","Tháng 9"
"October","Tháng 10"
"November","Tháng 11"
"December","Tháng 12"

"Monday","Thứ 2"
"Tuesday","Thứ 3"
"Wednesday","Thứ 4"
"Thursday","Thứ 5"
"Friday","Thứ 6"
"Saturday","Thứ 7"
"Sunday","Chủ nhật"

"Next","Kế tiếp"
"Previous","Trước"

"Blog Search","Blog Search"
"Go","Tới"
"Search our blog...","Search our blog..."
"You must be logged in to post a comment.","Bạn phải đăng nhập để bình luận."
