"Action","Thao tác"
"An error occurred while creating the backup.","Lỗi xảy ra khi tạo sao lưu."
"An error occurred while writing to the backup file ""%s"".","An error occurred while writing to the backup file ""%s""."
"Are you sure you want to delete the selected backup(s)?","Are you sure you want to delete the selected backup(s)?"
"Backup Type","Kiểu sao lưu"
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" cannot be read from or written to."
"Backup file ""%s"" does not exist.","Tập tin dự phòng ""%s"" không tồn tại."
"Backup file does not exist.","Tập tin sao lưu chưa tồn tại."
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file not found","Không tìm thấy tập tin sao lưu"
"Backup file path was not specified.","Chưa chọn đường dẫn cho tập tin sao lưu."
"Backups","Backups"
"Cannot read backup file.","Không thể đọc tập tin dự phòng."
"Create Backup","Tạo dự phòng"
"Database Backup","Dự phòng cơ sở dữ liệu"
"Database and Media Backup","Database and Media Backup"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Tải xuống"
"Enable Scheduled Backup","Bật chế độ sao lưu theo lịch trình"
"Failed to connect to FTP","Không thể kết nối đến FTP"
"Failed to delete one or several backups.","Failed to delete one or several backups."
"Failed to rollback","Không thể phục hồi"
"Failed to validate FTP","Failed to validate FTP"
"Frequency","Tần xuất"
"Invalid Password.","Mật khẩu không đúng."
"Maintenance Mode","Chế độ đang bảo trì"
"Not enough free space to create backup.","Not enough free space to create backup."
"Not enough permissions to create backup.","Not enough permissions to create backup."
"Not enough permissions to perform rollback","Not enough permissions to perform rollback"
"Please deselect the sufficient check-box, if you want to continue backup's creation","Please deselect the sufficient check-box, if you want to continue backup's creation"
"Please deselect the sufficient check-box, if you want to continue rollback processing","Please deselect the sufficient check-box, if you want to continue rollback processing"
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Size, Bytes","Size, Bytes"
"Start Time","Thời gian bắt đầu"
"System Backup","Sao lưu hệ thống"
"System couldn't put store on the maintenance mode","System couldn't put store on the maintenance mode"
"The database and media backup has been created.","The database and media backup has been created."
"The database backup has been created.","Sao lưu cơ sở dữ liệu đã được tạo."
"The file was compressed with Zlib, but this extension is not installed on server.","The file was compressed with Zlib, but this extension is not installed on server."
"The selected backup(s) has been deleted.","Những lựa chọn sao lưu đã bị xóa."
"The system backup has been created.","Tập tin sao lưu hệ thống đã được tạo."
"Time","Thời gian"
"Type","Kiểu"
"Unable to create backup. Please, try again later.","Không thể tạo tập tin sao lưu hệ thống. Hãy thử lại sau."
"Unable to save the cron expression.","Unable to save the cron expression."
"Warning! System couldn't put store on the maintenance mode.","Warning! System couldn't put store on the maintenance mode."
"Wrong order of creation for new backup.","Wrong order of creation for new backup."
