"* Required Fields","* Trường bắt buộc"
"-- Select --","-- Chọn --"
"Add New Option","Thêm lựa chọn mới"
"Add Selection","Thêm lựa chọn"
"As Low as","As Low as"
"As low as","As low as"
"Bundle Items","Bundle Items"
"Bundle Product","Bundle Product"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Ô chọn"
"Choose a selection...","Chọn một cái"
"Close","Đóng"
"Default","Mặc định"
"Default Qty","SL mặc định"
"Default Title","Tiêu đề mặc định"
"Drop-down","Xổ xuống"
"Dynamic","Động"
"Excl. Tax","Không thuế"
"Fixed","Cố định"
"From","Từ"
"From:","Từ:"
"Gift Message","Gift Message"
"Incl. Tax","Có thuế"
"Input Type","Kiểu nhập"
"Is Required","Là bắt buộc"
"Message:","Thông báo:"
"Multiple Select","Nhiều lựa chọn"
"N/A","N/A"
"No options of this product are available.","No options of this product are available."
"None","Không"
"Percent","Phần trăm"
"Percent Discount","Percent Discount"
"Please Select Products to Add","Please Select Products to Add"
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","Please select options for product."
"Please specify product option(s).","Please specify product option(s)."
"Position","Vị trí"
"Price Range","Tầm giá"
"Price Type","Loại giá"
"Price as configured","Price as configured"
"Qty:","Qty:"
"Radio Buttons","Nút chọn"
"Required options are not selected.","Required options are not selected."
"Selected required options are not available.","Selected required options are not available."
"Separately","Riêng lẻ"
"Ship Bundle Items","Ship Bundle Items"
"Shipment","Vận chuyển"
"Store View Title","Tiêu đề cửa hàng"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","Đến"
"To:","Đến:"
"Together","Cùng với"
"Use Default Value","Dùng giá trị mặc định"
"User Defined Qty","User Defined Qty"
