"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Giảm giá cho danh mục phụ thuộc vào thuộc tính ""%s"" đã bị tắt."
"Actions","Thao tác"
"Active","Kích hoạt"
"Add New Rule","Thêm luật mới"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Áp dụng"
"Apply Rules","Áp dụng luật"
"Attribute Set","Nhóm thuộc tính"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Danh mục"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Giảm giá cho danh mục"
"Category","Category"
"Conditions","Điều kiện"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Nhóm khách hàng"
"Customer Registered: %s","Customer Registered: %s"
"Customer is a New Buyer: %s","Customer is a New Buyer: %s"
"Date Expire","Date Expire"
"Date From","Từ ngày"
"Date Start","Date Start"
"Date To","Đến ngày"
"Delete Rule","Xóa luật"
"Description","Mô tả"
"Description: %s","Mô tả: %s"
"Discount Amount","Số lượng giảm"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expire at: %s","Hết hạn ngày: %s"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"ID","ID"
"Inactive","Chưa kích hoạt"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","Luật mới"
"No","Không"
"Options","Tùy chọn"
"Priority","Ưu tiên"
"Product Attribute","Product Attribute"
"Promotions","Promotions"
"Rule Information","Thông tin giảm giá"
"Rule Name","Tên luật"
"Save Rule","Lưu luật"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Start at: %s","Start at: %s"
"Status","Hiện trạng"
"Stop Further Rules Processing","Có thể sử dụng các mã khác"
"The rule has been deleted.","Luật giảm giá đã bị xóa."
"The rule has been saved.","Luật giảm giá đã được lưu lại."
"The rules have been applied.","Luật giảm giá đã được áp dụng."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","Luật giảm giá không tồn tại."
"To Date","Đến ngày"
"To Fixed Amount","Số lượng cố định"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules.","Không thể áp dụng giảm giá."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Cập nhật sản phẩm %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Đồng ý"
