"%s was added to your shopping cart.","Sản phẩm %s đã được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","Sản phẩm %s đã cập nhật lại trong giỏ hàng."
"* Required Fields","* Yêu cầu phải nhập"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm Điều Kiện Mới"
"Add coupon code for shopping cart","Thêm mã khuyến mại vào giỏ hàng"
"Add gift messages to shopping cart","Thêm thông tin quà tặng vào giỏ hàng"
"Add product to shopping cart","Thêm sản phẩm vào giỏ hàng"
"Add product(s) to shopping cart","Thêm nhiều sản phẩm(s) vào giỏ hàng"
"Add to Cart","Đặt mua"
"Add to Compare","So sánh"
"Add to Wishlist","Thêm vào muốn có"
"Additional Product Info","Thông tin kỹ thuật"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm sản phẩm chuyển đến trang giỏi hàng"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Bạn đã đăng ký thành viên?"
"An error occurred in the process of payment","Lỗi đã xuất hiện khi xử lý thanh toán"
"An error occurred while deleting this condition.","Lỗi đã xuất hiện khi xóa điều kiện."
"An error occurred while saving this condition.","Lỗi đã xuất hiện khi lưu điều kiện."
"Apply Coupon","Áp dụng mã giảm"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc là muốn bỏ sản phẩm này ra khỏi giỏ hàng?"
"Back","Quay lại"
"Back to Billing Information","Quay lại địa chỉ thanh toán"
"Back to Select Addresses","Quay lại địa chỉ đã chọn"
"Back to Shipping Information","Quay lại địa chỉ giao hàng"
"Back to Shopping Cart","Quay lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Chúng tôi nghĩ, sản phẩm sau sẽ giúp ích thêm cho bạn:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin địa chỉ thanh toán"
"Billing Information - %s","Địa chỉ thanh toán - %s"
"Cancel Coupon","Hủy Coupon"
"Cannot add item to the shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot add the item to shopping cart","Bạn không thể thêm sản phẩm này vào giỏ hàng"
