"* Required Fields","* Trường bắt buộc"
"Comment","Nội dung cần liên hệ"
"Contact Form","Form liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Contact Us Form","Contact Us Form"
"Contacts","Liên hệ"
"Contacts Section","Contacts Section"
"Email","Email"
"Email Options","Tùy chọn Email"
"Email Sender","Email người gửi"
"Email Template","Email Template"
"Enable Contact Us","Enable Contact Us"
"Name","Tên"
"Send Emails To","Gửi email tới"
"Submit","Gửi đi"
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
