"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Actions XML is not valid."
"An error occurred while opening file: ""%s"".","An error occurred while opening file: ""%s""."
"Could not load file: ""%s"".","Không thể tải tập tin: ""%s""."
"Could not save file: %s.","Không thể lưu tập tin: %s."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Destination folder ""%s"" is not a directory."
"Destination folder ""%s"" is not writable.","Destination folder ""%s"" is not writable."
"Done","Xong"
"Dry run set, stopping execution.","Dry run set, stopping execution."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Error in field mapping: field list for mapping is not defined."
"File ""%s"" does not exist.","Tập tin ""%s"" không tồn tại."
"Found %d rows.","Tìm thấy %d hàng."
"Less than a minute","Sẽ ít hơn một phút"
"Loaded successfully: ""%s"".","Đã tải lên thành công: ""%s""."
"Memory Used: %s","Memory Used: %s"
"Method ""%s"" not defined in adapter %s.","Method ""%s"" not defined in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Method ""%s"" was not defined in adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","Dữ liệu đã được xử lý: %s"
"Profile with the same name already exists.","Đã có một cấu hình cùng tên tồn tại."
"Saved successfully: ""%s"" [%d byte(s)].","Lưu thành công: ""%s"" [%d byte(s)]."
"Sheet 1","Sheet 1"
"Skip undefined row.","Bỏ qua dòng không xác định."
"Starting %s :: %s","Bắt đầu %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Thư mục ""%s"" không tồn tại hoặc không có quyền truy cập."
"Total records: %s","Tổng số dữ liệu: %s"
"hour","giờ"
"hours","giờ"
"minute","phút"
"minutes","phút"
