"%s Item(s)","%s Sản phẩm"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Viet Nam . Đã đăng ký bản quyền."
"(Shift-)Click or drag to change value","(Shift-)Nhấn chuột hoặc kéo để thay đổi giá trị"
"(ver. %s)","(bản. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Dùng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Dùng nút %s, %s để chọn năm"
"- or Shift-click to decrease it","- hoặc giữ phím Shift và nhấn chuột để giảm"
"- or click and drag for faster selection.","- hoặc nhấn chuột và kéo để chọn nhanh hơn."
"-- Please Select --","-- Mời bạn chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với thanh bên trái"
"2 columns with right bar","2 cột với thanh bên phải"
"3 columns","3 cột"
"About the calendar","Thông tin về lịch"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","Tất cả trang"
"All Pages (Print Version)","Tất cả trang (Phiên bản để in)"
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Breadcrumbs","Thanh điều hướng"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Đóng"
"Close Window","Đóng cửa sổ"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Chọn ngày:"
"Default Description","Mô tả mặc định"
"Default welcome msg!","Thông điệp chào mừng mặc định!"
"Display %s first","Hiển thị %s trước"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Kéo để di chuyển"
"Empty","Rỗng"
"For latest version visit: %s","Tải phiên bản mới nhất tại: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Đến hôm nay"
"Help Us to Keep Magento Healthy","Giúp chúng tôi làm cho Magento vững mạnh"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Cột bên trái"
"Main Content Area","Main Content Area"
"Navigation Bar","Thanh điều hướng"
"Next","Kế tiếp"
"Next month (hold for menu)","Tháng tới (dành cho menu)"
"Next year (hold for menu)","Năm tới (dành cho menu)"
"Page Bottom","Phần dưới của trang"
"Page Footer","Phần cuối của trang"
"Page Header","Phần đầu của trang"
"Page Top","Phần trên của trang"
"Page:","Trang:"
"Prev. month (hold for menu)","Tháng trước (dành cho menu)"
"Prev. year (hold for menu)","Năm trước (dành cho menu)"
"Previous","Trước"
"Redirecting...","Đang chuyển hướng..."
"Report All Bugs","Báo cáo lỗi"
"Right Column","Cột bên phải"
"Select Store","Chọn cửa hàng"
"Select Store:","Chọn cửa hàng:"
"Select date","Chọn ngày"
"Show","Hiển thị"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây chỉ là trang web dùng để kiểm tra tính năng, Tất cả các đơn hàng đều không được xử lý."
"Time selection:","Chọn thời gian:"
"Time:","Thời gian:"
"Welcome, %s!","Xin chào, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bạn phải bật JavaScript để trang web có thể hoạt động hết tính năng."
"Your Language","Ngôn ngữ"
"Your Language:","Ngôn ngữ:"
"per page","trang"
"Home", "Trang chủ"
