"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Trường bắt buộc"
"Address","Địa chỉ"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Trở lại"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","TP"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Đóng"
"Company","Công ty"
"Confirm Password","Xác nhận mật khẩu"
"Continue","Tiếp tục"
"Country","Quốc gia"
"Create an Account","Create an Account"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Địa chỉ Email"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Loading next step..."
"Login","Đăng nhập"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"Password","Mật khẩu"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personal Information"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Đăng ký"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Remember Me","Remember Me"
"Save in address book","Save in address book"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","State/Province"
"Street Address","Tên đường"
"Street Address %s","Street Address %s"
"Submit","Đồng ý"
"Telephone","Telephone"
"VAT Number","Số VAT"
"Welcome, %s!","Welcome, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Zip/Postal Code"
