"ALL","TẤT CẢ"
"Any","Mọi"
"Add","Thêm"
"Apply","Áp dụng"
"Conditions Combination","Conditions Combination"
"Description: %s","Mô tả: %s"
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Expire at: %s","Expire at: %s"
"FALSE","THẤT BẠI"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Invalid discount amount.","Invalid discount amount."
"Name: %s","Name: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","Loại bỏ"
"Start at: %s","Start at: %s"
"TRUE","TRUE"
"by","bởi"
"contains","chứa"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","đến"
