" for more information or "," for more information or "
"# of Items (and above)","# of Items (and above)"
"# of Items vs. Destination","# of Items vs. Destination"
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s","%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","Calculate Handling Fee"
"Carrier:","Nhà cung cấp:"
"City","TP"
"Close Window","Đóng cửa sổ"
"Condition","Điều kiện"
"Country","Quốc gia"
"Date","Ngày"
"Delivered on:","Chuyển lúc:"
"Delivered to:","Chuyển đến:"
"Description","Mô tả"
"Displayed Error Message","Hiển thị thông tin lỗi"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Sao chép dòng #%s (Quốc gia ""%s"", Vùng/Tỉnh ""%s"", Zip ""%s"" và Giá trị ""%s"")."
"Enabled","Bật"
"Error:","Lỗi:"
"Export","Xuất"
"Fixed","Cố định"
"Flat Rate","Giá thấp nhất"
"Free Shipping","Phí vận chuyển"
"Google Sitemap Section","Google Sitemap Section"
"Handling Fee","Phí xử lý"
"Import","Nhập"
"Include Virtual Products in Price Calculation","Tính cả sản phẩm ảo vào giá"
"Info:","Thông tin:"
"Invalid %s ""%s"" in the Row #%s.","Không đúng %s ""%s"" ở hàng số #%s."
"Invalid Country ""%s"" in the Row #%s.","Quốc gia không đúng ""%s"" ở hàng số #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Không đúng mã vùng ""%s"" ở hàng số #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Không đúng giá ""%s"" ở hàng số #%s."
"Invalid Table Rate code for type %s: %s","Bảng tỷ giá không đúng cho kiểu %s: %s"
"Invalid Table Rate code type: %s","Bảng tý giá không đúng cho mã kiểu: %s"
"Invalid Table Rates File Format","Định dạng tệp tỷ giá không đúng"
"Invalid Table Rates format in the Row #%s","Định dạng dữ liệu tỷ giá không đúng trong hàng sô #%s"
"Local Time","Giờ địa phương"
"Location","Địa điểm"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Số lượng tối đa để vận chuyển hàng đến nhiều địa chỉ"
"Method Name","Tên phương thức"
"Minimum Order Amount","Số lượng đơn hàng nhỏ nhất"
"N/A","N/A"
"None","Không"
"Options","Tùy chọn"
"Order Subtotal (and above)","Order Subtotal (and above)"
"Origin","Gốc"
"Per Order","Mỗi đơn hàng"
"Per Package","Mỗi kiện hàng"
"Percent","Phần trăm"
"Price","Giá"
"Price vs. Destination","Giá và địa điểm"
"Region/State","Vùng/Tỉnh"
"Service Type:","Kiểu dịch vụ:"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Shipment #","Vận chuyển #"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Shipped or billed on:"
"Shipping Methods","Phương thức vận chuyển"
"Shipping Methods Section","Phần phương thức vận chuyển"
"Shipping Settings","Shipping Settings"
"Shipping Settings Section","Shipping Settings Section"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Signed by:","Được ký bởi:"
"Sort Order","Sắp xếp đơn hàng"
"Status:","Hiện trạng:"
"Store Pickup","Đến cửa hàng"
"Street Address","Tên đường"
"Street Address Line 2","Tên đường phụ"
"Table Rates","Bảng tỷ lệ"
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"The shipping module is not available.","The shipping module is not available."
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"There is no tracking available.","There is no tracking available."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us."
"This shipping method is not available, please specify ZIP-code","This shipping method is not available, please specify ZIP-code"
"Title","Tiêu đề"
"Track:","Theo dõi:"
"Tracking Information","Thông tin theo dõi"
"Tracking Number:","Số theo dõi:"
"Tracking information is currently not available. Please ","Thông tin theo dõi đơn hàng không có, Bạn hãy"
"Tracking information is currently unavailable.","Hiện tại chưa có thông tin theo dõi đơn hàng."
"Type","Kiểu"
"Weight (and above)","Nặng (và nặng hơn)"
"Weight vs. Destination","Cân nặng và Địa điểm"
"Weight:","Nặng:"
"ZIP/Postal Code","ZIP/Postal Code"
"contact us","liên hệ với chúng tôi"
"email us at ","gửi email cho chúng tôi "
