"# of Uses","# của người dùng"
"%s tag(s) have been accepted for moderation.","%s tag(s) đã được chấp nhận để kiểm duyệt."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Hành động"
"Add","Thêm"
"Add New Tag","Thêm Tag mới"
"Add Tags","Thêm Tags"
"Add Your Tags:","Thêm Tags của bạn:"
"Add tag(s) to product","Add tag(s) to product"
"Add to Cart","Cho vào giỏ"
"Add to Wishlist","Thêm vào muốn có"
"All Tags","All Tags"
"Approved","Approved"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Bạn có chắc không?"
"Back","Trở về"
"Back to Tags List","Trở về danh sách Tag"
"Base Popularity","Phổ biến trên cơ sở"
"Block Information","Khối thông tin"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Change status"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Quốc gia"
"Customer My Account My Tags List","Chỉnh sửa danh sách Tags cho tài khoản của tôi"
"Customer My Account Tag View","Chỉnh sửa cách nhìn cho Tag trong tài khoản của tôi"
"Customer Since","Khách hàng từ"
"Customers","Khách hàng"
"Customers Submitted this Tag","Khách hàng đăng ký tag này"
"Customers Tagged '%s'","Khách hàng đã đánh '%s'"
"Delete","Xóa"
"Delete Tag","Xóa Tag"
"Disabled","Vô hiệu hóa"
"Edit Tag '%s'","Sửa Tag '%s'"
"Email","Email"
"First Name","Tên"
"General Information","Thông tin chung"
"Grid","Lưới"
"ID","ID"
"Info","Info"
"Last Name","Họ"
"List","Danh sách"
"Manage Tags","Quản lý Tags"
"My Recent Tags","Tags gần đây của tôi"
"My Tags","Tags của tôi"
"Name","Tên"
"New Tag","Tag mới"
"No matches found.","Không tìm thấy phù hợp."
"Other people marked this product with these tags:","Những người khác đã đánh dấu sản phẩm này với Tags:"
"Pending","Đang chờ"
"Pending Tags","Tags đang chờ"
"Popular","Phổ biến"
"Popular Tags","Tags Phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product SKU","SKU của sản phẩm"
"Product Tag API","Product Tag API"
"Product Tags","Tag của sản phẩm"
"Products","Sản phẩm"
"Products Tagged by Administrators","Sản phẩm được đánh tag bởi Quản trị viên"
"Products Tagged by Customers","Sản phẩm được đánh tag bở khách hàng"
"Products Tagged with '%s'","Sản phẩm được đánh tag với '%s'"
"Products tagged with '%s'","Sản phẩm được đánh tag với '%s'"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Loại bỏ"
"Remove product tag","Loại bỏ tag của sản phẩm"
"Retrieve list of tags by product","Lấy danh sách tag của sản phẩm"
"Retrieve product tag info","Lấy danh sách thông tin tag của sản phẩm"
"SKU","SKU"
"Save Tag","Lưu Tag"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Store View","Store View"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" đã được thêm cho sản phẩm."
"Tag ""%s"" has been added to the product.","Tag ""%s"" đã được thêm cho sản phẩm."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" đã bị từ chối bở người quản trị."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Tên Tag"
"Tagged Products List","Danh sách sản phẩm đã được Tag"
"Tags","Tags"
"Tags List (All Available)","Những Tag (Hiện hành)"
"Tags List Before","Danh sách Tag trước"
"Tags:","Tags:"
"Telephone","Điện thoại bàn"
"The tag has been deleted.","Tag đã bị xóa."
"There are no tags available.","Không có tag nào hiện hành."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Không thể lưu tag(s)."
"Update","Cập nhật"
"Update product tag","Cập nhật tag cho sản phẩm"
"Use spaces to separate tags. Use single quotes (') for phrases.","Sử dụng khoảng trắng để phân cách các tag. Sử dụng dấu ngoặc đơn (') cho các cụm từ."
"View All Tags","Xem tất cả Tags"
"View Customers","Xem khách hàng"
"View Products","Xem sản phẩm"
"XML","XML"
"You have not tagged any products yet.","Bạn chưa đánh tag cho bất cứ sản phẩm nào."
"ZIP/Post Code","ZIP/Mã bưu điện"
"[STORE VIEW]","[STORE VIEW]"
