"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Hãy chọn --"
"Add New Class","Add New Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this rate.","An error occurred while saving this rate."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Bạn có chắc là muốn làm thế không?"
"Back","Trở lại"
"Before Discount","Trước khi giảm giá"
"CSV","CSV"
"Calculation Settings","Cài đặt tính toán"
"Catalog Prices","Danh mục giá"
"Class Name","Tên nhóm"
"Code","Code"
"Country","Quốc gia"
"County","Quốc gia"
"Custom price if available","Tùy chọn giá nếu có thể"
"Customer Tax Class","Nhóm thuế khách hàng"
"Customer Tax Class Information","Thông tin nhóm thuế khách hàng"
"Customer Tax Classes","Nhóm thuế khách hàng"
"Default Country","Quốc gia mặc định"
"Default Post Code","Số bưu điện mặc định"
"Default State","Trạng thái mặc định"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Delete Rule","Xóa luật"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Edit Rule"
"Edit Tax Rate","Edit Tax Rate"
"Excel XML","Excel XML"
"Excl. Tax","Không thuế"
"Excl. Tax:","Không thuế:"
"Excluding Tax","Không thuế"
"Export Tax Rates","Export Tax Rates"
"Grand Total (Excl. Tax)","Tổng thanh toán (không thuế)"
"Grand Total (Excl.Tax)","Tổng thanh toán(k thuế)"
"Grand Total (Incl. Tax)","Tổng thanh toán (có thuế)"
"Grand Total (Incl.Tax)","Tổng thanh toán ( có thuế)"
"Grand Total Excl. Tax","Tổng thanh toán không thuế"
"Grand Total Incl. Tax","Tổng thanh toán có thuế"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Inc. Tax","Có thuế"
"Incl. Tax","Có thuế"
"Incl. Tax:","Có thuế:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including Tax","Có thuế"
"Including and Excluding Tax","Không tính và tính thuế"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Rules","Manage Tax Rules"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Tên"
"New Class","Lớp mới"
"New Rule","Luật mới"
"New Tax Rate","New Tax Rate"
"No","Không"
"None","Không"
"One of the country has invalid code.","Một quốc gia có mã số không đúng."
"Orders, Invoices, Creditmemos Display Settings","Cài đặt hiển thị Đơn hàng, Hóa đơn, Hoàn trả"
"Original price only","Original price only"
"Price Display Settings","Cài đặt hiển thị giá"
"Priority","Ưu tiên"
"Product Tax Class","Nhóm thuế của sản phẩm"
"Product Tax Class Information","Thông tin thuế sản phẩm"
"Product Tax Classes","Nhóm thuế của sản phẩm"
"Range From","Range From"
"Range To","Range To"
"Rate","Đánh giá"
"Rate Percent","Phần trăm đánh giá"
