"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) - Italy"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) - France"
"Customer ID","Customer ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) - Denmark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) - Austria"
"Enabled","Đã bật"
"Find out more about Online Bank Transfer","Find out more about Online Bank Transfer"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) - Germany"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) - Germany"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers Settings"
"Moneybookers Transaction ID: %s","Moneybookers Transaction ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","More information about Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) - Sweden"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (powered by Moneybookers)"
"Order ID","Mã Đơn Hàng"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) - Australia"
"Payment failed.","Thanh toán không thành công."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Thanh toán từ các quốc gia"
"Payment has not been processed yet.","Thanh toán chưa được xử lý."
"Payment was canceled.","Thanh toán đã bị hủy bỏ."
"Pending bank transfer created.","Đang chờ chuyển khoản qua ngân hàng."
"Please pay your order now","Hãy thanh toán hóa đơn ngay bây giờ"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) - Italy"
"Powered by Moneybookers","Powered by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) - Poland"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) - Germany"
"Sort Order","Thứ tự"
"The amount has been authorized and captured by Moneybookers.","The amount has been authorized and captured by Moneybookers."
"The customer was redirected to Moneybookers.","The customer was redirected to Moneybookers."
"The order has been canceled.","Đơn hàng đã bị hủy."
"Title","Tiêu đề"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) - Netherlands"
